model,quantization,steps,guidance,strength,detector,sample_count,fake_rate,avg_confidence_on_fake_predictions,avg_confidence_overall,avg_elapsed_time
sd35,fp16,30,3.5,0.45,CLIP-D,2.0,0.5,0.9423378705978394,0.48466113768517965,0.0624041557312011
sd35,fp16,30,3.5,0.45,NPR,2.0,0.5,0.9989905953407288,0.4994952976705447,0.09153592586517331
sd35,fp16,30,3.5,0.45,R50_TF,2.0,0.0,,0.39890000000000003,0.1745
sd35,fp16,30,3.5,0.6,CLIP-D,2.0,1.0,0.9142984747886658,0.9142984747886658,0.0625737905502319
sd35,fp16,30,3.5,0.6,NPR,2.0,0.5,0.9999165534973145,0.4999582768057313,0.09112036228179929
sd35,fp16,30,3.5,0.6,R50_TF,2.0,0.0,,0.4077,0.17049999999999998
sd35,fp16,30,5.0,0.3,CLIP-D,2.0,0.5,0.7002344131469727,0.35200890980195254,0.0630316734313964
sd35,fp16,30,5.0,0.3,NPR,2.0,0.5,0.9999735355377196,0.4999867677688599,0.09075272083282471
sd35,fp16,30,5.0,0.3,R50_TF,2.0,0.0,,0.40349999999999997,0.182
sd35,fp16,30,5.0,0.45,CLIP-D,2.0,0.5,0.8780663013458252,0.4455457585863769,0.0613348484039306
sd35,fp16,30,5.0,0.45,NPR,2.0,0.5,0.9997430443763732,0.4998715221886078,0.09559404850006101
sd35,fp16,30,5.0,0.45,R50_TF,2.0,0.0,,0.39954999999999996,0.17049999999999998
sd35,fp16,30,5.0,0.6,CLIP-D,2.0,1.0,0.8263138830661774,0.8263138830661774,0.06284594535827635
sd35,fp16,30,5.0,0.6,NPR,2.0,0.5,0.9999942779541016,0.4999971588137804,0.0882164239883422
sd35,fp16,30,5.0,0.6,R50_TF,2.0,0.0,,0.40915,0.16899999999999998
sd35,fp16,30,6.5,0.3,CLIP-D,2.0,0.5,0.8056593537330627,0.40577547368593514,0.06392943859100339
sd35,fp16,30,6.5,0.3,NPR,2.0,0.5,0.999980092048645,0.49999004602432273,0.0939904451370239
sd35,fp16,30,6.5,0.3,R50_TF,2.0,0.0,,0.4051,0.177
sd35,fp16,30,6.5,0.45,CLIP-D,2.0,0.5,0.872608482837677,0.4409462651237845,0.0648832321166992
sd35,fp16,30,6.5,0.45,NPR,2.0,0.5,0.9989932179450988,0.49949660897759024,0.0909889936447143
sd35,fp16,30,6.5,0.45,R50_TF,2.0,0.0,,0.40545,0.175
sd35,fp16,30,6.5,0.6,CLIP-D,2.0,1.0,0.8731134533882141,0.8731134533882141,0.07979524135589595
sd35,fp16,30,6.5,0.6,NPR,2.0,0.5,0.999919295310974,0.4999597222214546,0.09183645248413085
sd35,fp16,30,6.5,0.6,R50_TF,2.0,0.0,,0.41325,0.1695
sd35,fp16,40,3.5,0.3,CLIP-D,2.0,0.5,0.8844732642173767,0.44382723560556764,0.06279790401458735
sd35,fp16,40,3.5,0.3,NPR,2.0,0.5,0.9999774694442748,0.49998873472213823,0.0912814140319824
sd35,fp16,40,3.5,0.3,R50_TF,2.0,0.0,,0.39990000000000003,0.1775
sd35,fp16,40,3.5,0.45,CLIP-D,2.0,0.5,0.9347577095031738,0.4771008444949984,0.06317281723022455
sd35,fp16,40,3.5,0.45,NPR,2.0,0.5,0.9951553344726562,0.49757766723637836,0.09463429450988765
sd35,fp16,40,3.5,0.45,R50_TF,2.0,0.0,,0.398,0.172
sd35,fp16,40,3.5,0.6,CLIP-D,2.0,1.0,0.7587604522705078,0.7587604522705078,0.0614978075027465
sd35,fp16,40,3.5,0.6,NPR,2.0,0.5,0.9939494132995604,0.49697472072399046,0.09078514575958249
sd35,fp16,40,3.5,0.6,R50_TF,2.0,0.0,,0.40415,0.17049999999999998
sd35,fp16,40,5.0,0.3,CLIP-D,2.0,0.5,0.830626904964447,0.4171311211539432,0.06097531318664545
sd35,fp16,40,5.0,0.3,NPR,2.0,0.5,0.9999700784683228,0.49998503923416326,0.09029841423034665
sd35,fp16,40,5.0,0.3,R50_TF,2.0,0.0,,0.40349999999999997,0.174
sd35,fp16,40,5.0,0.45,CLIP-D,2.0,0.5,0.798689067363739,0.4103915384039283,0.062433600425720145
sd35,fp16,40,5.0,0.45,NPR,2.0,0.5,0.9235422611236572,0.4617711305620918,0.09274291992187494
sd35,fp16,40,5.0,0.45,R50_TF,2.0,0.0,,0.3964,0.1745
sd35,fp16,40,5.0,0.6,CLIP-D,2.0,1.0,0.7270941436290741,0.7270941436290741,0.0618749856948852
sd35,fp16,40,5.0,0.6,NPR,2.0,0.5,0.9998407363891602,0.4999204114557436,0.09248590469360345
sd35,fp16,40,5.0,0.6,R50_TF,2.0,0.0,,0.40305,0.1705
sd35,fp16,40,6.5,0.3,CLIP-D,2.0,0.5,0.6731278896331787,0.3396064671687782,0.06245708465576165
sd35,fp16,40,6.5,0.3,NPR,2.0,0.5,0.9998544454574584,0.4999272227287421,0.09428560733795165
sd35,fp16,40,6.5,0.3,R50_TF,2.0,0.0,,0.4042,0.17149999999999999
sd35,fp16,40,6.5,0.45,CLIP-D,2.0,0.5,0.8393007516860962,0.42551313107833266,0.06159389019012445
sd35,fp16,40,6.5,0.45,NPR,2.0,0.5,0.9675922989845276,0.48379614949849287,0.09414339065551755
sd35,fp16,40,6.5,0.45,R50_TF,2.0,0.0,,0.39675,0.1725
sd35,fp16,40,6.5,0.6,CLIP-D,2.0,1.0,0.8759742975234985,0.8759742975234985,0.06162691116333005
sd35,fp16,40,6.5,0.6,NPR,2.0,0.5,0.99895441532135,0.49947724726753856,0.0921046733856201
sd35,fp16,40,6.5,0.6,R50_TF,2.0,0.0,,0.40754999999999997,0.17099999999999999
sd35,fp16,50,3.5,0.3,CLIP-D,2.0,0.5,0.914174735546112,0.4595396935474127,0.0621281862258911
sd35,fp16,50,3.5,0.3,NPR,2.0,0.5,0.9992008805274964,0.49960044026374906,0.0901217460632324
sd35,fp16,50,3.5,0.3,R50_TF,2.0,0.0,,0.4017,0.1685
sd35,fp16,50,3.5,0.45,CLIP-D,2.0,0.5,0.9473780393600464,0.4832663293927908,0.06222784519195555
sd35,fp16,50,3.5,0.45,NPR,2.0,0.5,0.5850582718849182,0.29252913594669666,0.1292370557785034
sd35,fp16,50,3.5,0.45,R50_TF,2.0,0.0,,0.39580000000000004,0.176
sd35,fp16,50,3.5,0.6,CLIP-D,2.0,1.0,0.8960530757904053,0.8960530757904053,0.06132006645202635
